2025-11-12 08:51:30 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:30 [INFO] Data inserted ID=1762912290883360, metadata={'name': 'jokowi'}
2025-11-12 08:51:30 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:31 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:31 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:32 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:32 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:32 [INFO] Data inserted ID=1762912292983903, metadata={'name': 'natalia'}
2025-11-12 08:51:33 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:33 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:33 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:33 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:34 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:34 [INFO] Data inserted ID=1762912294472023, metadata={'name': 'sari'}
2025-11-12 08:51:34 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:34 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:34 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:35 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:35 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:35 [INFO] Data inserted ID=1762912295916485, metadata={'name': 'septian'}
2025-11-12 08:51:35 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:36 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:36 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:37 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:37 [INFO] Data inserted ID=1762912297306561, metadata={'name': 'ucok'}
2025-11-12 08:51:37 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:37 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:37 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:37 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:38 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:38 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:38 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:39 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:39 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:39 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:40 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:40 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:40 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:40 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:41 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:41 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:41 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:41 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:42 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:42 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:42 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:43 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:43 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:43 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:44 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:44 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:44 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:44 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:45 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:45 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:45 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:46 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:46 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:46 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:47 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:47 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:47 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:47 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:48 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:48 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:48 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:49 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:49 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:49 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:50 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:50 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:50 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:50 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:51 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:51 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:51 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:51 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:51:52 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:52:05 [INFO] Terhubung ke Milvus DB: face_demo.db
2025-11-12 08:52:08 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:52:08 [INFO] Search berhasil, ditemukan 1 hasil.
2025-11-12 08:52:08 [INFO] Search berhasil, ditemukan 1 hasil.
